"","word","freq"
"premier","premier",27
"thailand","thailand",27
"main","main",27
"opportunity","opportunity",27
"particularly","particularly",27
"results","results",27
"peking","peking",27
"certain","certain",27
"put","put",27
"danger","danger",27
"racialism","racialism",26
"benefit","benefit",26
"considered","considered",26
"done","done",26
"interference","interference",26
"parts","parts",26
"aims","aims",26
"exchange","exchange",26
"express","express",26
"atomic","atomic",26
"interests","interests",25
"brought","brought",25
"close","close",25
"fundamental","fundamental",25
"moral","moral",25
"whole","whole",25
"hand","hand",25
"race","race",25
"historic","historic",25
"hopes","hopes",25
"delegations","delegations",25
"small","small",25
"promote","promote",24
"agreed","agreed",24
"always","always",24
"area","area",24
"asians","asians",24
"communique","communique",24
"forces","forces",24
"population","population",24
"situation","situation",24
"stand","stand",24
"agreements","agreements",24
"selfdetermination","selfdetermination",24
"action","action",24
"europe","europe",24
"though","though",24
"group","group",24
"men","men",24
"australia","australia",24
"number","number",24
"reason","reason",24
"course","course",24
"voice","voice",24
"chairman","chairman",24
"decided","decided",23
"following","following",23
"half","half",23
"humanity","humanity",23
"indochina","indochina",23
"mind","mind",23
"set","set",23
"ways","ways",23
"communists","communists",23
"decision","decision",23
"members","members",23
"big","big",23
"least","least",23
"red","red",23
"something","something",23
"atmosphere","atmosphere",23
"formosa","formosa",23
"high","high",23
"discussed","discussed",22
"internal","internal",22
"kind","kind",22
"accepted","accepted",22
"points","points",22
"conferences","conferences",22
"thing","thing",22
"next","next",22
"ever","ever",22
"diversity","diversity",22
"trade","trade",22
"ali","ali",21
"day","day",21
"agenda","agenda",21
"less","less",21
"rest","rest",21
"doubt","doubt",21
"came","came",21
"seato","seato",21
"public","public",21
"thank","thank",21
"tolerance","tolerance",21
"integrity","integrity",21
"achieved","achieved",20
"called","called",20
"idea","idea",20
"joint","joint",20
"proposed","proposed",20
"nuclear","nuclear",20
"clearly","clearly",20
"israel","israel",20
"material","material",20
"whose","whose",20
"greatest","greatest",20
"territorial","territorial",20
"various","various",20
"based","based",20
"justice","justice",20
"establish","establish",19
"special","special",19
"destruction","destruction",19
"develop","develop",19
"face","face",19
"indian","indian",19
"issue","issue",19
"parties","parties",19
"solution","solution",19
"spiritual","spiritual",19
"three","three",19
"attention","attention",19
"change","change",19
"questions","questions",19
"terms","terms",19
"including","including",19
"races","races",19
"solidarity","solidarity",19
"white","white",19
"real","real",19
"likely","likely",19
"taking","taking",19
"words","words",19
"especially","especially",19
"look","look",19
"true","true",19
"quite","quite",19
"task","task",19
"control","control",19
"ago","ago",19
"gentlemen","gentlemen",19
"shown","shown",19
"closer","closer",18
"discuss","discuss",18
"due","due",18
"egypt","egypt",18
"faith","faith",18
"friends","friends",18
"host","host",18
"lead","lead",18
"left","left",18
"matters","matters",18
"neighbours","neighbours",18
"organisation","organisation",18
"palestine","palestine",18
"recently","recently",18
"settlement","settlement",18
"similar","similar",18
"statesmen","statesmen",18
"worlds","worlds",18
"effective","effective",18
"expected","expected",18
"vital","vital",18
"fellow","fellow",18
"significance","significance",18
"vast","vast",18
"feeling","feeling",18
"making","making",18
"answer","answer",18
"determination","determination",18
"practical","practical",18
"created","created",18
"experience","experience",18
"play","play",18
"rather","rather",18
"happy","happy",18
"coming","coming",18
"democratic","democratic",18
"enough","enough",18
"second","second",18
"washington","washington",18
"adopted","adopted",18
"press","press",18
"particular","particular",18
"article","article",18
"destiny","destiny",18
"deliberations","deliberations",18
"nationality","nationality",18
"aid","aid",17
"amongst","amongst",17
"determined","determined",17
"djakarta","djakarta",17
"sastroamidjojo","sastroamidjojo",17
"either","either",17
"necessary","necessary",17
"eastern","eastern",17
"living","living",17
"merely","merely",17
"minds","minds",17
"recent","recent",17
"regard","regard",17
"difficult","difficult",17
"probably","probably",17
"seems","seems",17
"threat","threat",17
"thus","thus",17
"british","british",17
"distinguished","distinguished",17
"genuine","genuine",17
"beginning","beginning",17
"back","back",17
"get","get",17
"welcome","welcome",17
"effect","effect",17
"ones","ones",17
"although","although",17
"gathering","gathering",17
"contacts","contacts",17
"often","often",17
"alone","alone",16
"concluded","concluded",16
"mean","mean",16
"outside","outside",16
"stated","stated",16
"successful","successful",16
"thinking","thinking",16
"union","union",16
"fully","fully",16
"subject","subject",16
"role","role",16
"side","side",16
"continue","continue",16
"speech","speech",16
"create","create",16
"britain","britain",16
"cyprus","cyprus",16
"soviet","soviet",16
"thought","thought",16
"deep","deep",16
"assembly","assembly",16
"seen","seen",16
"speak","speak",16
"longer","longer",16
"bangkok","bangkok",16
"science","science",16
"thanks","thanks",16
"event","event",16
"gathered","gathered",16
"ideals","ideals",16
"cambodia","cambodia",15
"continent","continent",15
"cooperate","cooperate",15
"extent","extent",15
"morocco","morocco",15
"opening","opening",15
"promoting","promoting",15
"southeast","southeast",15
"consideration","consideration",15
"irian","irian",15
"week","week",15
"year","year",15
"attempt","attempt",15
"feel","feel",15
"example","example",15
"found","found",15
"occasion","occasion",15
"millions","millions",15
"hold","hold",15
"liberty","liberty",15
"seven","seven",15
"stage","stage",15
"conditions","conditions",15
"culture","culture",15
"period","period",15
"religions","religions",15
"universal","universal",15
"declaration","declaration",15
"advance","advance",14
"approach","approach",14
"centuries","centuries",14
"conclusion","conclusion",14
"forward","forward",14
"france","france",14
"hoped","hoped",14
"issued","issued",14
"john","john",14
"leading","leading",14
"meetings","meetings",14
"name","name",14
"negotiations","negotiations",14
"resources","resources",14
"took","took",14
"tunisia","tunisia",14
"wellbeing","wellbeing",14
"known","known",14
"unless","unless",14
"discussion","discussion",14
"dulles","dulles",14
"nothing","nothing",14
"completely","completely",14
"hearts","hearts",14
"declared","declared",14
"territory","territory",14
"sure","sure",14
"almost","almost",14
"participants","participants",14
"agree","agree",14
"contrary","contrary",14
"usa","usa",14
"strong","strong",14
"field","field",14
"ideologies","ideologies",14
"understand","understand",14
"collective","collective",14
"community","community",14
"used","used",14
"afghanistan","afghanistan",13
"aim","aim",13
"asked","asked",13
"complete","complete",13
"cordial","cordial",13
"council","council",13
"democracy","democracy",13
"individual","individual",13
"sent","sent",13
"accept","accept",13
"behalf","behalf",13
"case","case",13
"disarmament","disarmament",13
"participate","participate",13
"reached","reached",13
"technical","technical",13
"tensions","tensions",13
"unfortunately","unfortunately",13
"instance","instance",13
"language","language",13
"plan","plan",13
"resolution","resolution",13
"talk","talk",13
"prove","prove",13
"serve","serve",13
"sponsors","sponsors",13
"carry","carry",13
"turn","turn",13
"value","value",13
"daily","daily",13
"home","home",13
"sincere","sincere",13
"london","london",13
"passed","passed",13
"says","says",13
"congress","congress",13
"move","move",13
"old","old",13
"deeply","deeply",13
"learned","learned",13
"away","away",13
"unique","unique",13
"evidence","evidence",13
"try","try",13
"activities","activities",13
"aggressive","aggressive",13
"line","line",13
"settled","settled",13
"aggression","aggression",13
"brothers","brothers",13
"existence","existence",13
"modern","modern",13
"religion","religion",13
"won","won",13
"energy","energy",13
"era","era",13
"algeria","algeria",13
"dual","dual",13
"achievement","achievement",13
"bomb","bomb",12
"city","city",12
"felt","felt",12
"fields","fields",12
"fight","fight",12
"finally","finally",12
"holding","holding",12
"laos","laos",12
"larger","larger",12
"premiers","premiers",12
"recognition","recognition",12
"sir","sir",12
"underdeveloped","underdeveloped",12
"concerning","concerning",12
"note","note",12
"regional","regional",12
"status","status",12
"expect","expect",12
"feelings","feelings",12
"korea","korea",12
"secretary","secretary",12
"third","third",12
"unanimity","unanimity",12
"received","received",12
"diplomatic","diplomatic",12
"disputes","disputes",12
"regarding","regarding",12
"socalled","socalled",12
"unanimous","unanimous",12
"behind","behind",12
"hands","hands",12
"forms","forms",12
"greatly","greatly",12
"allies","allies",12
"call","call",12
"york","york",12
"chinas","chinas",12
"ideas","ideas",12
"highest","highest",12
"necessity","necessity",12
"contribute","contribute",12
"middle","middle",12
"propaganda","propaganda",12
"message","message",12
"aspirations","aspirations",12
"realize","realize",12
"keep","keep",12
"seek","seek",12
"historical","historical",12
"existing","existing",12
"achievements","achievements",12
"neighbourly","neighbourly",11
"aimed","aimed",11
"coast","coast",11
"december","december",11
"delhi","delhi",11
"final","final",11
"gold","gold",11
"hard","hard",11
"plans","plans",11
"representing","representing",11
"respective","respective",11
"seeking","seeking",11
"strengthen","strengthen",11
"turkey","turkey",11
"arrangements","arrangements",11
"continued","continued",11
"demand","demand",11
"invite","invite",11
"considerable","considerable",11
"difficulties","difficulties",11
"ties","ties",11
"duty","duty",11
"leadership","leadership",11
"programme","programme",11
"suffered","suffered",11
"coloured","coloured",11
"failure","failure",11
"ideological","ideological",11
"useful","useful",11
"around","around",11
"burden","burden",11
"enjoy","enjoy",11
"european","european",11
"saying","saying",11
"violence","violence",11
"offer","offer",11
"source","source",11
"effort","effort",11
"undoubtedly","undoubtedly",11
"gave","gave",11
"obviously","obviously",11
"moment","moment",11
"places","places",11
"trying","trying",11
"zealand","zealand",11
"preserve","preserve",11
"party","party",11
"system","system",11
"wars","wars",11
"sympathy","sympathy",11
"hall","hall",11
"needs","needs",11
"regime","regime",11
"taiwan","taiwan",11
"lasting","lasting",11
"leader","leader",11
"groups","groups",11
"league","league",11
"act","act",11
"assembled","assembled",11
"colour","colour",11
"god","god",11
"guided","guided",11
"ladies","ladies",11
"religious","religious",11
"sukarno","sukarno",11
"wisdom","wisdom",11
"yes","yes",11
"arrive","arrive",11
"bringing","bringing",11
"enter","enter",11
"concrete","concrete",11
"trust","trust",11
"allowed","allowed",10
"besides","besides",10
"committed","committed",10
"conflict","conflict",10
"declare","declare",10
"degree","degree",10
"depend","depend",10
"economy","economy",10
"events","events",10
"factor","factor",10
"referred","referred",10
"responsibility","responsibility",10
"solve","solve",10
"solved","solved",10
"soon","soon",10
"working","working",10
"acceptance","acceptance",10
"basic","basic",10
"build","build",10
"implementation","implementation",10
"scope","scope",10
"supported","supported",10
"thermonuclear","thermonuclear",10
"generally","generally",10
"major","major",10
"provide","provide",10
"represent","represent",10
"claim","claim",10
"french","french",10
"liberation","liberation",10
"africans","africans",10
"assistance","assistance",10
"convinced","convinced",10
"external","external",10
"head","head",10
"majority","majority",10
"exploitation","exploitation",10
"list","list",10
"pass","pass",10
"welfare","welfare",10
"neutral","neutral",10
"despite","despite",10
"wishes","wishes",10
"information","information",10
"pressure","pressure",10
"recognized","recognized",10
"measures","measures",10
"herald","herald",10
"intentions","intentions",10
"step","step",10
"stay","stay",10
"stronger","stronger",10
"toward","toward",10
"earth","earth",10
"ground","ground",10
"remember","remember",10
"changes","changes",10
"vietnamese","vietnamese",10
"deal","deal",10
"proof","proof",10
"americans","americans",10
"responsible","responsible",10
"choice","choice",10
"romulo","romulo",10
"doubts","doubts",10
"neither","neither",10
"systems","systems",10
"armed","armed",10
"chiang","chiang",10
"organization","organization",10
"alien","alien",10
"bombs","bombs",10
"poverty","poverty",10
"regret","regret",10
"age","age",10
"excellency","excellency",10
"gratitude","gratitude",10
"nevertheless","nevertheless",10
"ten","ten",10
"ready","ready",10
"guardian","guardian",10
"dependent","dependent",10
"maintain","maintain",10
"apart","apart",9
"begin","begin",9
"connection","connection",9
"ethiopia","ethiopia",9
"four","four",9
"hydrogen","hydrogen",9
"invitations","invitations",9
"kotelawala","kotelawala",9
"natural","natural",9
"opened","opened",9
"representation","representation",9
"talks","talks",9
"earnest","earnest",9
"essential","essential",9
"happiness","happiness",9
"membership","membership",9
"regarded","regarded",9
"secretariat","secretariat",9
"light","light",9
"moscow","moscow",9
"objective","objective",9
"official","official",9
"outcome","outcome",9
"decide","decide",9
"exercise","exercise",9
"specific","specific",9
"appeal","appeal",9
"dominate","dominate",9
"freely","freely",9
"instead","instead",9
"months","months",9
"shape","shape",9
"urge","urge",9
"exert","exert",9
"fruitful","fruitful",9
"malaya","malaya",9
"manila","manila",9
"proved","proved",9
"tremendous","tremendous",9
"comes","comes",9
"intention","intention",9
"appears","appears",9
"became","became",9
"increase","increase",9
"exist","exist",9
"serious","serious",9
"challenge","challenge",9
"education","education",9
"objectives","objectives",9
"significant","significant",9
"word","word",9
"character","character",9
"politics","politics",9
"extremely","extremely",9
"philippine","philippine",9
"session","session",9
"territories","territories",9
"throughout","throughout",9
"aware","aware",9
"bound","bound",9
"pact","pact",9
"eyes","eyes",9
"powerful","powerful",9
"direction","direction",9
"easy","easy",9
"evil","evil",9
"firmly","firmly",9
"planning","planning",9
"proud","proud",9
"road","road",9
"sisters","sisters",9
"spite","spite",9
"truth","truth",9
"armaments","armaments",9
"dominated","dominated",9
"ideology","ideology",9
"signed","signed",9
"entire","entire",9
"prosperity","prosperity",9
"values","values",9
"greetings","greetings",9
"conclude","conclude",9
"hospitality","hospitality",9
"share","share",9
"establishment","establishment",9
"accordance","accordance",9
"practices","practices",9
"writing","writing",9
"manchester","manchester",9
"recommended","recommended",9
"grateful","grateful",9
"affecting","affecting",8
"bear","bear",8
"colonies","colonies",8
"expressing","expressing",8
"indonesias","indonesias",8
"liberia","liberia",8
"possibility","possibility",8
"remains","remains",8
"broad","broad",8
"civilization","civilization",8
"immediate","immediate",8
"implement","implement",8
"manner","manner",8
"permanent","permanent",8
"sphere","sphere",8
"actions","actions",8
"anticolonialism","anticolonialism",8
"criticism","criticism",8
"nonwhite","nonwhite",8
"sentiments","sentiments",8
"viewed","viewed",8
"body","body",8
"combined","combined",8
"enthusiasm","enthusiasm",8
"anxiety","anxiety",8
"attempts","attempts",8
"several","several",8
"show","show",8
"standard","standard",8
"succeeded","succeeded",8
"drawing","drawing",8
"included","included",8
"practice","practice",8
"start","start",8
"denied","denied",8
"process","process",8
"rule","rule",8
"suppression","suppression",8
"denial","denial",8
"follow","follow",8
"member","member",8
"lie","lie",8
"hardly","hardly",8
"presence","presence",8
"seem","seem",8
"capital","capital",8
"carrying","carrying",8
"department","department",8
"imperialists","imperialists",8
"send","send",8
"finding","finding",8
"largely","largely",8
"moslem","moslem",8
"giving","giving",8
"prepared","prepared",8
"momentous","momentous",8
"observers","observers",8
"opinions","opinions",8
"realistic","realistic",8
"mentioned","mentioned",8
"destinies","destinies",8
"guarantee","guarantee",8
"established","established",8
"grant","grant",8
"anticolonial","anticolonial",8
"doctrine","doctrine",8
"japanese","japanese",8
"suspicion","suspicion",8
"really","really",8
"century","century",8
"areas","areas",8
"belief","belief",8
"brotherhood","brotherhood",8
"causes","causes",8
"civilisation","civilisation",8
"extended","extended",8
"gone","gone",8
"lives","lives",8
"privilege","privilege",8
"warm","warm",8
"nearly","nearly",8
"technology","technology",8
"total","total",8
"valuable","valuable",8
"caused","caused",8
"conviction","conviction",8
"dangerous","dangerous",8
"love","love",8
"constitute","constitute",8
"directed","directed",8
"restoration","restoration",8
"facilities","facilities",8
"prohibition","prohibition",8
"explore","explore",7
"direct","direct",7
"economically","economically",7
"extend","extend",7
"fought","fought",7
"immense","immense",7
"libya","libya",7
"mass","mass",7
"positions","positions",7
"preservation","preservation",7
"proposal","proposal",7
"proposals","proposals",7
"resist","resist",7
"revolution","revolution",7
"satisfaction","satisfaction",7
"solutions","solutions",7
"standing","standing",7
"subjected","subjected",7
"sudan","sudan",7
"visit","visit",7
"context","context",7
"determine","determine",7
"knowledge","knowledge",7
"object","object",7
"obligations","obligations",7
"respected","respected",7
"depends","depends",7
"document","document",7
"foster","foster",7
"impact","impact",7
"inviting","inviting",7
"masses","masses",7
"prevailing","prevailing",7
"prevent","prevent",7
"recognize","recognize",7
"unanimously","unanimously",7
"forthcoming","forthcoming",7
"willing","willing",7
"geography","geography",7
"instrument","instrument",7
"islam","islam",7
"mohammed","mohammed",7
"outstanding","outstanding",7
"protection","protection",7
"according","according",7
"anticommunist","anticommunist",7
"exists","exists",7
"intended","intended",7
"superiority","superiority",7
"wholly","wholly",7
"conduct","conduct",7
"imperialist","imperialist",7
"measure","measure",7
"normal","normal",7
"selfgovernment","selfgovernment",7
"defence","defence",7
"globe","globe",7
"mere","mere",7
"ensure","ensure",7
"wide","wide",7
"calling","calling",7
"near","near",7
"began","began",7
"blocs","blocs",7
"belong","belong",7
"chance","chance",7
"induce","induce",7
"pointed","pointed",7
"produce","produce",7
"recall","recall",7
"siam","siam",7
"circles","circles",7
"beyond","beyond",7
"date","date",7
"divided","divided",7
"learn","learn",7
"speeches","speeches",7
"involved","involved",7
"nationalism","nationalism",7
"speaking","speaking",7
"carried","carried",7
"divide","divide",7
"excluded","excluded",7
"sovereign","sovereign",7
"experiment","experiment",7
"birth","birth",7
"chief","chief",7
"attending","attending",7
"authorities","authorities",7
"avoid","avoid",7
"camp","camp",7
"encouragement","encouragement",7
"opposed","opposed",7
"admission","admission",7
"oppression","oppression",7
"initiative","initiative",7
"kaishek","kaishek",7
"remarkable","remarkable",7
"command","command",7
"heavy","heavy",7
"opposing","opposing",7
"regards","regards",7
"reach","reach",7
"seemed","seemed",7
"earlier","earlier",7
"reality","reality",7
"win","win",7
"billion","billion",7
"appreciation","appreciation",7
"born","born",7
"condition","condition",7
"confidence","confidence",7
"dead","dead",7
"desires","desires",7
"everything","everything",7
"excellencies","excellencies",7
"fighting","fighting",7
"generations","generations",7
"harmony","harmony",7
"heritage","heritage",7
"honour","honour",7
"hundred","hundred",7
"intellectual","intellectual",7
"labour","labour",7
"masters","masters",7
"million","million",7
"nature","nature",7
"primary","primary",7
"raised","raised",7
"realise","realise",7
"recognised","recognised",7
"responsibilities","responsibilities",7
"skill","skill",7
"went","went",7
"wherever","wherever",7
"allow","allow",7
"balance","balance",7
"furthermore","furthermore",7
"lost","lost",7
"profound","profound",7
"utmost","utmost",7
"produced","produced",7
"anything","anything",7
"fall","fall",7
"arrived","arrived",7
"conflicts","conflicts",7
"dignity","dignity",7
"choose","choose",7
"impossible","impossible",7
"kingdom","kingdom",7
"led","led",7
"segregation","segregation",7
"collaboration","collaboration",7
"maintenance","maintenance",7
"raise","raise",7
"heads","heads",7
"twentynine","twentynine",7
"conflicting","conflicting",7
"positive","positive",7
"editorial","editorial",7
"provided","provided",7
"institutions","institutions",7
"sunday","sunday",7
"signing","signing",7
"sunario","sunario",7
"exchanges","exchanges",7
"patience","patience",7
"agencies","agencies",6
"aspects","aspects",6
"claims","claims",6
"convening","convening",6
"easily","easily",6
"fate","fate",6
"followed","followed",6
"iraq","iraq",6
"pleasant","pleasant",6
"precisely","precisely",6
"realisation","realisation",6
"showed","showed",6
"sons","sons",6
"strengthening","strengthening",6
"subjugation","subjugation",6
"suggested","suggested",6
"using","using",6
"yemen","yemen",6
"acquainted","acquainted",6
"anothers","anothers",6
"available","available",6
"convene","convene",6
"destructive","destructive",6
"implemented","implemented",6
"physical","physical",6
"follows","follows",6
"ignored","ignored",6
"nationalist","nationalist",6
"vietminh","vietminh",6
"bonds","bonds",6
"increasing","increasing",6
"negative","negative",6
"barriers","barriers",6
"creating","creating",6
"faced","faced",6
"formidable","formidable",6
"imposed","imposed",6
"jakarta","jakarta",6
"movement","movement",6
"oppressed","oppressed",6
"placed","placed",6
"reported","reported",6
"dispute","dispute",6
"ignore","ignore",6
"mention","mention",6
"neighbour","neighbour",6
"possess","possess",6
"sacrifice","sacrifice",6
"sort","sort",6
"backwardness","backwardness",6
"developed","developed",6
"dominant","dominant",6
"land","land",6
"later","later",6
"path","path",6
"shows","shows",6
"slavery","slavery",6
"vague","vague",6
"active","active",6
"guinea","guinea",6
"nehrus","nehrus",6
"programmes","programmes",6
"favourable","favourable",6
"opportunities","opportunities",6
"peaceloving","peaceloving",6
"remarks","remarks",6
"sufficient","sufficient",6
"apparently","apparently",6
"guiding","guiding",6
"inclined","inclined",6
"afford","afford",6
"appear","appear",6
"crisis","crisis",6
"defend","defend",6
"interesting","interesting",6
"makes","makes",6
"march","march",6
"open","open",6
"stock","stock",6
"tribune","tribune",6
"ambitions","ambitions",6
"propose","propose",6
"christian","christian",6
"except","except",6
"obvious","obvious",6
"address","address",6
"essentially","essentially",6
"highly","highly",6
"experienced","experienced",6
"participation","participation",6
"proper","proper",6
"continues","continues",6
"personally","personally",6
"aiming","aiming",6
"fears","fears",6
"service","service",6
"stressed","stressed",6
"mission","mission",6
"break","break",6
"elections","elections",6
"inevitable","inevitable",6
"representative","representative",6
"bases","bases",6
"correspondent","correspondent",6
"diplomacy","diplomacy",6
"news","news",6
"wrote","wrote",6
"infiltration","infiltration",6
"mark","mark",6
"noble","noble",6
"oppose","oppose",6
"resolved","resolved",6
"convey","convey",6
"helped","helped",6
"neutralism","neutralism",6
"none","none",6
"prestige","prestige",6
"disinterested","disinterested",6
"emphasis","emphasis",6
"humility","humility",6
"read","read",6
"subversion","subversion",6
"attain","attain",6
"comfort","comfort",6
"dominating","dominating",6
"else","else",6
"everyone","everyone",6
"knew","knew",6
"lies","lies",6
"memorable","memorable",6
"morality","morality",6
"preserving","preserving",6
"pride","pride",6
"sides","sides",6
"steps","steps",6
"thoughts","thoughts",6
"victims","victims",6
"ages","ages",6
"disaster","disaster",6
"elsewhere","elsewhere",6
"suspicions","suspicions",6
"forget","forget",6
"short","short",6
"simple","simple",6
"negotiation","negotiation",6
"permit","permit",6
"putting","putting",6
"rapidly","rapidly",6
"tragedy","tragedy",6
"reasons","reasons",6
"sitting","sitting",6
"add","add",6
"effectively","effectively",6
"reasonably","reasonably",6
"russia","russia",6
"australian","australian",6
"equal","equal",6
"post","post",6
"thai","thai",6
"hatred","hatred",6
"safeguarding","safeguarding",6
"tangible","tangible",6
"promoted","promoted",6
"singapore","singapore",6
"vietnams","vietnams",6
"nonwhites","nonwhites",6
"impressive","impressive",6
"lerner","lerner",6
"cultures","cultures",6
"contracting","contracting",6
"friendliness","friendliness",5
"advantage","advantage",5
"affect","affect",5
"central","central",5
"declaring","declaring",5
"enable","enable",5
"enormous","enormous",5
"gained","gained",5
"grave","grave",5
"informal","informal",5
"iran","iran",5
"jordan","jordan",5
"lay","lay",5
"lebanon","lebanon",5
"machinery","machinery",5
"pacts","pacts",5
"prevented","prevented",5
"realised","realised",5
"reconstruction","reconstruction",5
"refugees","refugees",5
"september","september",5
"speedy","speedy",5
"twentyfive","twentyfive",5
"violation","violation",5
"worse","worse",5
"experiments","experiments",5
"geographical","geographical",5
"growth","growth",5
"include","include",5
"legitimate","legitimate",5
"netherlands","netherlands",5
"planned","planned",5
"procedure","procedure",5
"threaten","threaten",5
"alignment","alignment",5
"apply","apply",5
"ease","ease",5
"facing","facing",5
"ignorance","ignorance",5
"invitees","invitees",5
"knows","knows",5
"realities","realities",5
"suggestions","suggestions",5
"wrong","wrong",5
"considers","considers",5
"laid","laid",5
"truly","truly",5
"brings","brings",5
"busy","busy",5
"combination","combination",5
"happen","happen",5
"indias","indias",5
"pledge","pledge",5
"struggling","struggling",5
"absolute","absolute",5
"advanced","advanced",5
"dealt","dealt",5
"needed","needed",5
"previous","previous",5
"remain","remain",5
"resistance","resistance",5
"threatened","threatened",5
"yellow","yellow",5
"yoke","yoke",5
"arms","arms",5
"assist","assist",5
"commonwealth","commonwealth",5
"domestic","domestic",5
"goa","goa",5
"inherent","inherent",5
"lands","lands",5
"patterns","patterns",5
"regions","regions",5
"sometimes","sometimes",5
"survey","survey",5
"trusteeship","trusteeship",5
"unrest","unrest",5
"afrasian","afrasian",5
"careful","careful",5
"defense","defense",5
"global","global",5
"piping","piping",5
