"","word","freq.all","freq.general"
"280","benefit",26,12
"281","considered",26,9
"282","done",26,6
"283","interference",26,4
"284","parts",26,10
"285","aims",26,5
"286","exchange",26,4
"287","express",26,9
"288","atomic",26,7
"289","interests",25,6
"290","brought",25,5
"291","close",25,7
"292","fundamental",25,3
"293","moral",25,6
"294","whole",25,8
"295","hand",25,2
"296","race",25,2
"297","historic",25,4
"298","hopes",25,5
"299","delegations",25,5
"300","small",25,6
"301","promote",24,4
"302","agreed",24,5
"303","always",24,9
"304","area",24,4
"305","asians",24,5
"306","communique",24,7
"307","forces",24,6
"308","population",24,4
"309","situation",24,8
"310","stand",24,6
"311","agreements",24,2
"312","selfdetermination",24,2
"313","action",24,4
"314","europe",24,NA
"315","though",24,NA
"316","group",24,2
"317","men",24,6
"318","australia",24,NA
"319","number",24,7
"320","reason",24,5
"321","course",24,4
"322","voice",24,5
"323","chairman",24,NA
"324","decided",23,9
"325","following",23,9
"326","half",23,5
"327","humanity",23,6
"328","indochina",23,10
"329","mind",23,8
"330","set",23,2
"331","ways",23,9
"332","communists",23,1
"333","decision",23,5
"334","members",23,1
"335","big",23,1
"336","least",23,1
"337","red",23,1
"338","something",23,6
"339","atmosphere",23,7
"340","formosa",23,1
"341","high",23,13
"342","discussed",22,5
"343","internal",22,4
"344","kind",22,3
"345","accepted",22,4
"346","points",22,2
"347","conferences",22,NA
"348","thing",22,5
"349","next",22,1
"350","ever",22,3
"351","diversity",22,6
"352","trade",22,2
"353","ali",21,8
"354","day",21,7
"355","agenda",21,4
"356","less",21,4
"357","rest",21,4
"358","doubt",21,3
"359","came",21,7
"360","seato",21,NA
"361","public",21,2
"362","thank",21,3
"363","tolerance",21,4
"364","integrity",21,4
"365","achieved",20,3
"366","called",20,6
"367","idea",20,9
"368","joint",20,10
"369","proposed",20,2
"370","nuclear",20,1
"371","clearly",20,4
"372","israel",20,1
"373","material",20,4
"374","whose",20,4
"375","greatest",20,3
"376","territorial",20,4
"377","various",20,3
"378","based",20,4
"379","justice",20,1
"380","establish",19,5
"381","special",19,7
"382","destruction",19,5
"383","develop",19,4
"384","face",19,5
"385","indian",19,4
"386","issue",19,6
"387","parties",19,7
"388","solution",19,4
"389","spiritual",19,6
"390","three",19,3
"391","attention",19,2
"392","change",19,4
"393","questions",19,6
"394","terms",19,4
"395","including",19,2
"396","races",19,3
"397","solidarity",19,7
"398","white",19,2
"399","real",19,2
"400","likely",19,2
"401","taking",19,4
"402","words",19,3
"403","especially",19,3
"404","look",19,5
"405","true",19,5
"406","quite",19,3
"407","task",19,10
"408","control",19,7
"409","ago",19,11
"410","gentlemen",19,5
"411","shown",19,3
"412","closer",18,1
"413","discuss",18,7
"414","due",18,4
"415","egypt",18,1
"416","faith",18,4
"417","friends",18,3
"418","host",18,3
"419","lead",18,4
"420","left",18,2
"421","matters",18,8
"422","neighbours",18,6
"423","organisation",18,2
"424","palestine",18,2
"425","recently",18,5
"426","settlement",18,3
"427","similar",18,3
"428","statesmen",18,8
"429","worlds",18,3
"430","effective",18,NA
"431","expected",18,1
"432","vital",18,1
"433","fellow",18,1
"434","significance",18,5
"435","vast",18,2
"436","feeling",18,2
"437","making",18,5
"438","answer",18,10
"439","determination",18,4
"440","practical",18,1
"441","created",18,2
"442","experience",18,3
"443","play",18,1
"444","rather",18,4
"445","happy",18,4
"446","coming",18,1
"447","democratic",18,1
"448","enough",18,1
"449","second",18,1
"450","washington",18,NA
"451","adopted",18,3
"452","press",18,7
"453","particular",18,5
"454","article",18,6
"455","destiny",18,1
"456","deliberations",18,2
"457","nationality",18,12
"458","aid",17,1
"459","amongst",17,10
"460","determined",17,2
"461","djakarta",17,3
"462","sastroamidjojo",17,9
"463","either",17,7
"464","necessary",17,2
"465","eastern",17,2
"466","living",17,6
"467","merely",17,3
"468","minds",17,3
"469","recent",17,5
"470","regard",17,4
"471","difficult",17,5
"472","probably",17,NA
"473","seems",17,1
"474","threat",17,2
"475","thus",17,3
"476","british",17,1
"477","distinguished",17,2
"478","genuine",17,5
"479","beginning",17,2
"480","back",17,3
"481","get",17,1
"482","welcome",17,9
"483","effect",17,1
"484","ones",17,2
"485","although",17,3
"486","gathering",17,4
"487","contacts",17,3
"488","often",17,9
"489","alone",16,5
"490","concluded",16,1
"491","mean",16,4
"492","outside",16,2
"493","stated",16,3
"494","successful",16,5
"495","thinking",16,6
"496","union",16,1
"497","fully",16,2
"498","subject",16,2
"499","role",16,2
"500","side",16,6
"501","continue",16,2
"502","speech",16,1
"503","create",16,1
"504","britain",16,NA
"505","cyprus",16,NA
"506","soviet",16,NA
"507","thought",16,2
"508","deep",16,3
"509","assembly",16,NA
"510","seen",16,5
"511","speak",16,6
"512","longer",16,4
"513","bangkok",16,NA
"514","science",16,3
"515","thanks",16,1
"516","event",16,3
"517","gathered",16,12
"518","ideals",16,3
"519","cambodia",15,1
"520","continent",15,2
"521","cooperate",15,6
"522","extent",15,2
"523","morocco",15,1
"524","opening",15,5
"525","promoting",15,3
"526","southeast",15,1
"527","consideration",15,3
"528","irian",15,NA
"529","week",15,4
"530","year",15,2
"531","attempt",15,NA
"532","feel",15,5
"533","example",15,3
"534","found",15,4
"535","occasion",15,5
"536","millions",15,2
"537","hold",15,1
"538","liberty",15,1
"539","seven",15,2
"540","stage",15,2
"541","conditions",15,1
"542","culture",15,1
"543","period",15,5
"544","religions",15,7
"545","universal",15,1
"546","declaration",15,1
"547","advance",14,4
"548","approach",14,3
"549","centuries",14,4
"550","conclusion",14,5
"551","forward",14,6
"552","france",14,1
"553","hoped",14,3
"554","issued",14,6
"555","john",14,4
"556","leading",14,2
"557","meetings",14,4
"558","name",14,3
"559","negotiations",14,4
"560","resources",14,2
"561","took",14,2
"562","tunisia",14,1
"563","wellbeing",14,4
"564","known",14,2
"565","unless",14,6
"566","discussion",14,4
"567","dulles",14,2
"568","nothing",14,2
"569","completely",14,6
"570","hearts",14,2
"571","declared",14,NA
"572","territory",14,2
"573","sure",14,3
"574","almost",14,4
"575","participants",14,1
"576","agree",14,9
"577","contrary",14,1
"578","usa",14,NA
"579","strong",14,1
"580","field",14,6
"581","ideologies",14,5
"582","understand",14,7
"583","collective",14,1
"584","community",14,1
"585","used",14,4
"586","afghanistan",13,8
"587","aim",13,5
"588","asked",13,4
"589","complete",13,2
"590","cordial",13,3
"591","council",13,1
"592","democracy",13,3
"593","individual",13,3
"594","sent",13,3
"595","accept",13,3
"596","behalf",13,7
"597","case",13,NA
"598","disarmament",13,NA
"599","participate",13,NA
"600","reached",13,3
"601","technical",13,4
"602","tensions",13,6
"603","unfortunately",13,4
"604","instance",13,1
"605","language",13,2
"606","plan",13,NA
"607","resolution",13,NA
"608","talk",13,NA
"609","prove",13,3
"610","serve",13,NA
"611","sponsors",13,NA
"612","carry",13,3
"613","turn",13,2
"614","value",13,2
"615","daily",13,2
"616","home",13,1
"617","sincere",13,3
"618","london",13,NA
"619","passed",13,2
"620","says",13,NA
"621","congress",13,NA
"622","move",13,NA
"623","old",13,1
"624","deeply",13,1
"625","learned",13,8
"626","away",13,3
"627","unique",13,2
"628","evidence",13,2
"629","try",13,2
"630","activities",13,NA
"631","aggressive",13,NA
"632","line",13,1
"633","settled",13,4
"634","aggression",13,1
"635","brothers",13,10
"636","existence",13,2
"637","modern",13,4
"638","religion",13,8
"639","won",13,4
"640","energy",13,1
"641","era",13,2
"642","algeria",13,NA
"643","dual",13,8
"644","achievement",13,NA
"645","bomb",12,2
"646","city",12,2
"647","felt",12,3
"648","fields",12,3
"649","fight",12,3
"650","finally",12,2
"651","holding",12,7
"652","laos",12,1
"653","larger",12,2
"654","premiers",12,3
"655","recognition",12,1
"656","sir",12,2
"657","underdeveloped",12,3
"658","concerning",12,5
"659","note",12,2
"660","regional",12,2
"661","status",12,1
"662","expect",12,3
"663","feelings",12,4
"664","korea",12,1
"665","secretary",12,2
"666","third",12,1
"667","unanimity",12,1
"668","received",12,2
"669","diplomatic",12,3
"670","disputes",12,1
"671","regarding",12,NA
"672","socalled",12,1
"673","unanimous",12,3
"674","behind",12,1
"675","hands",12,NA
"676","forms",12,1
"677","greatly",12,NA
"678","allies",12,NA
"679","call",12,3
"680","york",12,NA
"681","chinas",12,NA
"682","ideas",12,2
"683","highest",12,8
"684","necessity",12,3
"685","contribute",12,3
"686","middle",12,NA
"687","propaganda",12,NA
"688","message",12,4
"689","aspirations",12,NA
"690","realize",12,2
"691","keep",12,3
"692","seek",12,2
"693","historical",12,2
"694","existing",12,2
"695","achievements",12,NA
"696","neighbourly",11,7
"697","aimed",11,1
"698","coast",11,1
"699","december",11,3
"700","delhi",11,3
"701","final",11,2
"702","gold",11,1
"703","hard",11,5
"704","plans",11,2
"705","representing",11,2
"706","respective",11,4
"707","seeking",11,2
"708","strengthen",11,3
"709","turkey",11,1
"710","arrangements",11,2
"711","continued",11,NA
"712","demand",11,NA
"713","invite",11,1
"714","considerable",11,1
"715","difficulties",11,2
"716","ties",11,1
"717","duty",11,3
"718","leadership",11,NA
"719","programme",11,2
"720","suffered",11,2
"721","coloured",11,1
"722","failure",11,3
"723","ideological",11,NA
"724","useful",11,1
"725","around",11,2
"726","burden",11,1
"727","enjoy",11,1
"728","european",11,NA
"729","saying",11,1
"730","violence",11,1
"731","offer",11,NA
"732","source",11,4
"733","effort",11,3
"734","undoubtedly",11,2
"735","gave",11,3
"736","obviously",11,1
"737","moment",11,4
"738","places",11,3
"739","trying",11,1
"740","zealand",11,NA
"741","preserve",11,1
"742","party",11,1
"743","system",11,1
"744","wars",11,NA
"745","sympathy",11,1
"746","hall",11,7
"747","needs",11,1
"748","regime",11,NA
"749","taiwan",11,3
"750","lasting",11,1
"751","leader",11,1
"752","groups",11,2
"753","league",11,2
"754","act",11,4
"755","assembled",11,3
"756","colour",11,2
"757","god",11,8
"758","guided",11,4
"759","ladies",11,4
"760","religious",11,3
"761","sukarno",11,5
"762","wisdom",11,5
"763","yes",11,9
"764","arrive",11,4
"765","bringing",11,2
"766","enter",11,4
"767","concrete",11,1
"768","trust",11,2
"769","allowed",10,3
"770","besides",10,2
"771","committed",10,3
"772","conflict",10,4
"773","declare",10,4
"774","degree",10,5
"775","depend",10,2
"776","economy",10,2
"777","events",10,1
"778","factor",10,1
"779","referred",10,3
"780","responsibility",10,7
"781","solve",10,2
"782","solved",10,3
"783","soon",10,3
"784","working",10,5
"785","acceptance",10,NA
"786","basic",10,1
"787","build",10,1
"788","implementation",10,2
"789","scope",10,2
"790","supported",10,NA
"791","thermonuclear",10,NA
"792","generally",10,2
"793","major",10,2
"794","provide",10,1
"795","represent",10,1
"796","claim",10,NA
"797","french",10,NA
"798","liberation",10,3
"799","africans",10,1
"800","assistance",10,2
"801","convinced",10,1
"802","external",10,NA
"803","head",10,NA
"804","majority",10,3
"805","exploitation",10,NA
"806","list",10,NA
"807","pass",10,NA
"808","welfare",10,1
"809","neutral",10,NA
"810","despite",10,NA
"811","wishes",10,1
"812","information",10,NA
"813","pressure",10,NA
"814","recognized",10,1
"815","measures",10,2
"816","herald",10,NA
"817","intentions",10,2
"818","step",10,1
"819","stay",10,3
"820","stronger",10,NA
"821","toward",10,NA
"822","earth",10,4
"823","ground",10,3
"824","remember",10,6
"825","changes",10,3
"826","vietnamese",10,NA
"827","deal",10,1
"828","proof",10,4
"829","americans",10,1
"830","responsible",10,NA
"831","choice",10,2
"832","romulo",10,NA
"833","doubts",10,6
"834","neither",10,2
"835","systems",10,NA
"836","armed",10,1
"837","chiang",10,NA
"838","organization",10,NA
"839","alien",10,2
"840","bombs",10,3
"841","poverty",10,3
"842","regret",10,5
"843","age",10,5
"844","excellency",10,8
"845","gratitude",10,2
"846","nevertheless",10,1
"847","ten",10,NA
"848","ready",10,1
"849","guardian",10,NA
"850","dependent",10,1
"851","maintain",10,3
"852","apart",9,1
"853","begin",9,2
"854","connection",9,2
"855","ethiopia",9,1
"856","four",9,2
"857","hydrogen",9,3
"858","invitations",9,4
"859","kotelawala",9,2
"860","natural",9,2
"861","opened",9,2
"862","representation",9,1
"863","talks",9,1
"864","earnest",9,NA
"865","essential",9,1
"866","happiness",9,1
"867","membership",9,1
"868","regarded",9,1
"869","secretariat",9,3
"870","light",9,6
"871","moscow",9,1
"872","objective",9,3
"873","official",9,3
"874","outcome",9,2
"875","decide",9,1
"876","exercise",9,NA
"877","specific",9,1
"878","appeal",9,NA
"879","dominate",9,1
"880","freely",9,1
"881","instead",9,2
"882","months",9,NA
"883","shape",9,NA
"884","urge",9,1
"885","exert",9,1
"886","fruitful",9,3
"887","malaya",9,NA
"888","manila",9,NA
"889","proved",9,1
"890","tremendous",9,2
"891","comes",9,1
"892","intention",9,1
"893","appears",9,3
"894","became",9,2
"895","increase",9,3
"896","exist",9,1
"897","serious",9,2
"898","challenge",9,NA
"899","education",9,NA
"900","objectives",9,1
"901","significant",9,NA
"902","word",9,2
"903","character",9,NA
"904","politics",9,3
"905","extremely",9,NA
"906","philippine",9,NA
"907","session",9,3
"908","territories",9,3
"909","throughout",9,NA
"910","aware",9,2
"911","bound",9,NA
"912","pact",9,NA
"913","eyes",9,1
"914","powerful",9,NA
"915","direction",9,NA
"916","easy",9,5
"917","evil",9,2
"918","firmly",9,4
"919","planning",9,3
"920","proud",9,2
"921","road",9,2
"922","sisters",9,7
"923","spite",9,2
"924","truth",9,2
"925","armaments",9,1
"926","dominated",9,1
"927","ideology",9,1
"928","signed",9,5
"929","entire",9,NA
"930","prosperity",9,NA
"931","values",9,NA
"932","greetings",9,NA
"933","conclude",9,2
"934","hospitality",9,NA
"935","share",9,1
"936","establishment",9,1
"937","accordance",9,4
"938","practices",9,1
"939","writing",9,NA
"940","manchester",9,NA
"941","recommended",9,NA
"942","grateful",9,2
"943","affecting",8,4
"944","bear",8,4
"945","colonies",8,3
"946","expressing",8,3
"947","indonesias",8,3
"948","liberia",8,1
"949","possibility",8,3
"950","remains",8,2
"951","broad",8,NA
"952","civilization",8,NA
"953","immediate",8,2
"954","implement",8,NA
"955","manner",8,NA
"956","permanent",8,NA
"957","sphere",8,NA
"958","actions",8,2
"959","anticolonialism",8,3
"960","criticism",8,2
"961","nonwhite",8,1
"962","sentiments",8,1
"963","viewed",8,2
"964","body",8,1
"965","combined",8,NA
"966","enthusiasm",8,NA
"967","anxiety",8,1
"968","attempts",8,1
"969","several",8,2
"970","show",8,2
"971","standard",8,1
"972","succeeded",8,1
"973","drawing",8,1
"974","included",8,NA
"975","practice",8,3
"976","start",8,1
"977","denied",8,1
"978","process",8,1
"979","rule",8,2
"980","suppression",8,NA
"981","denial",8,NA
"982","follow",8,NA
"983","member",8,1
"984","lie",8,1
"985","hardly",8,1
"986","presence",8,2
"987","seem",8,1
"988","capital",8,2
"989","carrying",8,1
"990","department",8,NA
"991","imperialists",8,NA
"992","send",8,NA
"993","finding",8,2
"994","largely",8,1
"995","moslem",8,NA
"996","giving",8,4
"997","prepared",8,5
"998","momentous",8,1
"999","observers",8,1
"1000","opinions",8,2
"1001","realistic",8,1
"1002","mentioned",8,4
"1003","destinies",8,1
"1004","guarantee",8,2
"1005","established",8,1
"1006","grant",8,2
"1007","anticolonial",8,2
"1008","doctrine",8,1
"1009","japanese",8,NA
"1010","suspicion",8,4
"1011","really",8,2
"1012","century",8,1
"1013","areas",8,1
"1014","belief",8,1
"1015","brotherhood",8,2
"1016","causes",8,4
"1017","civilisation",8,2
"1018","extended",8,3
"1019","gone",8,3
"1020","lives",8,5
"1021","privilege",8,3
"1022","warm",8,1
"1023","nearly",8,2
"1024","technology",8,6
"1025","total",8,2
"1026","valuable",8,2
"1027","caused",8,NA
"1028","conviction",8,NA
"1029","dangerous",8,NA
"1030","love",8,NA
"1031","constitute",8,1
"1032","directed",8,NA
"1033","restoration",8,NA
"1034","facilities",8,2
"1035","prohibition",8,NA
"1036","explore",7,5
"1037","direct",7,1
"1038","economically",7,1
"1039","extend",7,2
"1040","fought",7,2
"1041","immense",7,3
"1042","libya",7,1
"1043","mass",7,1
"1044","positions",7,3
"1045","preservation",7,1
"1046","proposal",7,4
"1047","proposals",7,1
"1048","resist",7,1
"1049","revolution",7,2
"1050","satisfaction",7,4
"1051","solutions",7,3
"1052","standing",7,3
"1053","subjected",7,1
"1054","sudan",7,1
"1055","visit",7,4
"1056","context",7,NA
"1057","determine",7,NA
"1058","knowledge",7,1
"1059","object",7,NA
"1060","obligations",7,NA
"1061","respected",7,2
"1062","depends",7,2
"1063","document",7,7
"1064","foster",7,3
"1065","impact",7,3
"1066","inviting",7,1
"1067","masses",7,1
"1068","prevailing",7,3
"1069","prevent",7,2
"1070","recognize",7,1
"1071","unanimously",7,4
"1072","forthcoming",7,NA
"1073","willing",7,2
"1074","geography",7,NA
"1075","instrument",7,NA
"1076","islam",7,2
"1077","mohammed",7,NA
"1078","outstanding",7,2
"1079","protection",7,NA
"1080","according",7,NA
"1081","anticommunist",7,NA
"1082","exists",7,2
"1083","intended",7,NA
"1084","superiority",7,3
"1085","wholly",7,2
"1086","conduct",7,NA
"1087","imperialist",7,NA
"1088","measure",7,NA
"1089","normal",7,1
"1090","selfgovernment",7,NA
"1091","defence",7,NA
"1092","globe",7,3
"1093","mere",7,3
"1094","ensure",7,3
"1095","wide",7,2
"1096","calling",7,NA
"1097","near",7,1
"1098","began",7,4
"1099","blocs",7,1
"1100","belong",7,1
"1101","chance",7,NA
"1102","induce",7,1
"1103","pointed",7,NA
"1104","produce",7,1
"1105","recall",7,3
"1106","siam",7,NA
"1107","circles",7,NA
"1108","beyond",7,2
"1109","date",7,1
"1110","divided",7,3
"1111","learn",7,2
"1112","speeches",7,NA
"1113","involved",7,NA
"1114","nationalism",7,NA
"1115","speaking",7,3
"1116","carried",7,NA
"1117","divide",7,1
"1118","excluded",7,NA
"1119","sovereign",7,2
"1120","experiment",7,2
"1121","birth",7,2
"1122","chief",7,NA
"1123","attending",7,NA
"1124","authorities",7,NA
"1125","avoid",7,2
"1126","camp",7,NA
"1127","encouragement",7,NA
"1128","opposed",7,NA
"1129","admission",7,NA
"1130","oppression",7,NA
"1131","initiative",7,NA
"1132","kaishek",7,NA
"1133","remarkable",7,NA
"1134","command",7,1
"1135","heavy",7,3
"1136","opposing",7,NA
"1137","regards",7,1
"1138","reach",7,NA
"1139","seemed",7,1
"1140","earlier",7,1
"1141","reality",7,1
"1142","win",7,NA
"1143","billion",7,NA
"1144","appreciation",7,2
"1145","born",7,5
"1146","condition",7,1
"1147","confidence",7,3
"1148","dead",7,4
"1149","desires",7,2
"1150","everything",7,2
"1151","excellencies",7,3
"1152","fighting",7,4
"1153","generations",7,4
"1154","harmony",7,1
"1155","heritage",7,4
"1156","honour",7,4
"1157","hundred",7,4
"1158","intellectual",7,3
"1159","labour",7,1
"1160","masters",7,2
"1161","million",7,1
"1162","nature",7,1
"1163","primary",7,2
"1164","raised",7,1
"1165","realise",7,2
"1166","recognised",7,1
"1167","responsibilities",7,4
"1168","skill",7,5
"1169","went",7,1
"1170","wherever",7,2
"1171","allow",7,2
"1172","balance",7,4
"1173","furthermore",7,2
"1174","lost",7,3
"1175","profound",7,1
"1176","utmost",7,2
"1177","produced",7,2
"1178","anything",7,NA
"1179","fall",7,NA
"1180","arrived",7,3
"1181","conflicts",7,NA
"1182","dignity",7,NA
"1183","choose",7,1
"1184","impossible",7,NA
"1185","kingdom",7,5
"1186","led",7,1
"1187","segregation",7,NA
"1188","collaboration",7,NA
"1189","maintenance",7,1
"1190","raise",7,NA
"1191","heads",7,5
"1192","twentynine",7,NA
"1193","conflicting",7,NA
"1194","positive",7,NA
"1195","editorial",7,NA
"1196","provided",7,NA
"1197","institutions",7,NA
"1198","sunday",7,2
"1199","signing",7,7
"1200","sunario",7,6
"1201","exchanges",7,2
"1202","patience",7,NA
"1203","agencies",6,2
"1204","aspects",6,2
"1205","claims",6,1
"1206","convening",6,1
"1207","easily",6,2
"1208","fate",6,1
"1209","followed",6,4
"1210","iraq",6,1
"1211","pleasant",6,1
"1212","precisely",6,3
"1213","realisation",6,2
"1214","showed",6,2
"1215","sons",6,2
"1216","strengthening",6,2
"1217","subjugation",6,1
"1218","suggested",6,1
"1219","using",6,1
"1220","yemen",6,1
"1221","acquainted",6,1
"1222","anothers",6,1
"1223","available",6,NA
"1224","convene",6,2
"1225","destructive",6,NA
"1226","implemented",6,NA
"1227","physical",6,3
"1228","follows",6,1
"1229","ignored",6,1
"1230","nationalist",6,1
"1231","vietminh",6,2
"1232","bonds",6,4
"1233","increasing",6,1
"1234","negative",6,NA
"1235","barriers",6,NA
"1236","creating",6,1
"1237","faced",6,3
"1238","formidable",6,2
"1239","imposed",6,NA
"1240","jakarta",6,NA
"1241","movement",6,NA
"1242","oppressed",6,NA
"1243","placed",6,NA
"1244","reported",6,1
"1245","dispute",6,NA
"1246","ignore",6,NA
"1247","mention",6,NA
"1248","neighbour",6,1
"1249","possess",6,NA
"1250","sacrifice",6,1
"1251","sort",6,NA
"1252","backwardness",6,1
"1253","developed",6,1
"1254","dominant",6,NA
"1255","land",6,NA
"1256","later",6,4
"1257","path",6,1
"1258","shows",6,NA
"1259","slavery",6,NA
"1260","vague",6,NA
"1261","active",6,NA
"1262","guinea",6,NA
"1263","nehrus",6,NA
"1264","programmes",6,NA
"1265","favourable",6,NA
"1266","opportunities",6,1
"1267","peaceloving",6,NA
"1268","remarks",6,NA
"1269","sufficient",6,1
"1270","apparently",6,NA
"1271","guiding",6,1
"1272","inclined",6,1
"1273","afford",6,NA
"1274","appear",6,NA
"1275","crisis",6,NA
"1276","defend",6,NA
"1277","interesting",6,NA
"1278","makes",6,NA
"1279","march",6,1
"1280","open",6,NA
"1281","stock",6,2
"1282","tribune",6,NA
"1283","ambitions",6,NA
"1284","propose",6,NA
"1285","christian",6,NA
"1286","except",6,NA
"1287","obvious",6,3
"1288","address",6,4
"1289","essentially",6,3
"1290","highly",6,1
"1291","experienced",6,2
"1292","participation",6,NA
"1293","proper",6,1
"1294","continues",6,NA
"1295","personally",6,NA
"1296","aiming",6,2
"1297","fears",6,1
"1298","service",6,NA
"1299","stressed",6,2
"1300","mission",6,1
"1301","break",6,NA
"1302","elections",6,NA
"1303","inevitable",6,2
"1304","representative",6,1
"1305","bases",6,NA
"1306","correspondent",6,NA
"1307","diplomacy",6,1
